major_id,course_id,semester
2,47,6
2,48,2
2,49,6
2,50,6
2,52,3
2,54,1-8
2,56,5
2,58,5
2,59,3
2,60,1-8
2,61,5
2,62,5
2,65,2
2,69,3
2,70,4
2,71,1
2,76,2
2,77,2
2,78,1
2,81,5
2,82,4
2,84,1
2,85,1-4
2,87,5
2,88,2
2,90,1
2,91,1-8
2,93,4
2,95,2
2,97,1
2,98,6
2,99,3
2,101,5
2,102,4
2,104,3
2,106,5
2,107,6
2,108,2
2,110,6
2,111,2
2,112,2
2,113,3
2,114,2
2,118,6
2,119,1-6
3,51,4
3,53,3
3,57,5
3,63,4
3,66,1
3,67,3
3,68,1
3,72,4
3,73,5
3,74,4
3,75,3
3,79,3
3,80,5
3,83,4
3,86,3
3,89,1
3,92,2
3,94,3
3,96,2
3,100,6
3,109,2
3,115,4
3,117,5
